freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.699e+02,6.769e+01,6.902e+01,5.066e+02
1.5,2.319e+02,5.659e+01,5.857e+01,3.471e+02
3.0,4.017e+01,2.489e+01,2.457e+01,8.963e+01
4.6,2.773e+02,2.357e+01,2.388e+01,3.247e+02
6.1,1.019e+03,3.331e+01,2.604e+01,1.078e+03
7.6,1.642e+03,4.210e+01,2.509e+01,1.709e+03
9.1,2.300e+03,5.755e+01,2.863e+01,2.386e+03
10.6,2.808e+03,7.657e+01,2.970e+01,2.915e+03
12.1,3.421e+03,1.127e+02,2.673e+01,3.561e+03
13.7,4.351e+03,1.854e+02,2.396e+01,4.561e+03
15.2,5.514e+03,2.850e+02,2.227e+01,5.821e+03
16.7,6.913e+03,3.618e+02,2.432e+01,7.299e+03
18.2,8.377e+03,5.104e+02,2.541e+01,8.913e+03
19.7,9.892e+03,8.874e+02,2.611e+01,1.081e+04
21.2,1.200e+04,1.320e+03,2.850e+01,1.335e+04
22.8,1.335e+04,1.352e+03,3.762e+01,1.474e+04
24.3,1.547e+04,1.677e+03,4.589e+01,1.719e+04
25.8,1.843e+04,2.402e+03,5.778e+01,2.089e+04
27.3,2.181e+04,3.679e+03,9.104e+01,2.558e+04
28.8,2.603e+04,6.078e+03,1.859e+02,3.229e+04
30.4,3.182e+04,1.002e+04,4.003e+02,4.224e+04
31.9,3.865e+04,1.541e+04,7.681e+02,5.483e+04
33.4,4.601e+04,1.963e+04,1.109e+03,6.675e+04
34.9,5.637e+04,2.370e+04,1.466e+03,8.154e+04
36.4,6.899e+04,3.232e+04,2.289e+03,1.036e+05
37.9,8.112e+04,4.770e+04,4.409e+03,1.332e+05
39.5,8.597e+04,6.309e+04,8.561e+03,1.576e+05
41.0,8.478e+04,7.084e+04,1.421e+04,1.698e+05
42.5,8.437e+04,6.501e+04,1.884e+04,1.682e+05
44.0,8.905e+04,5.021e+04,2.016e+04,1.594e+05
45.5,1.057e+05,3.815e+04,2.171e+04,1.656e+05
47.0,1.378e+05,3.006e+04,2.561e+04,1.935e+05
48.6,1.801e+05,2.286e+04,3.067e+04,2.337e+05
50.1,2.412e+05,1.701e+04,3.769e+04,2.959e+05
51.6,3.972e+05,1.601e+04,5.802e+04,4.712e+05
53.1,7.910e+05,4.582e+04,1.018e+05,9.386e+05
54.6,1.254e+06,1.147e+05,1.375e+05,1.506e+06
56.2,1.439e+06,1.653e+05,1.511e+05,1.755e+06
57.7,1.343e+06,1.687e+05,1.492e+05,1.661e+06
59.2,1.196e+06,1.633e+05,1.449e+05,1.504e+06
60.7,1.052e+06,1.545e+05,1.395e+05,1.346e+06
62.2,8.923e+05,1.406e+05,1.307e+05,1.164e+06
63.7,7.499e+05,1.237e+05,1.227e+05,9.963e+05
65.3,6.244e+05,1.060e+05,1.145e+05,8.448e+05
66.8,5.034e+05,8.090e+04,1.036e+05,6.879e+05
68.3,4.107e+05,5.996e+04,9.318e+04,5.638e+05
69.8,3.491e+05,5.216e+04,8.586e+04,4.871e+05
71.3,3.043e+05,4.773e+04,8.185e+04,4.339e+05
72.8,2.699e+05,4.464e+04,7.844e+04,3.930e+05
74.4,2.437e+05,4.199e+04,7.482e+04,3.605e+05
75.9,2.239e+05,3.838e+04,7.141e+04,3.337e+05
77.4,2.100e+05,3.436e+04,6.912e+04,3.135e+05
78.9,1.970e+05,3.074e+04,6.654e+04,2.943e+05
80.4,1.851e+05,2.661e+04,6.403e+04,2.757e+05
82.0,1.768e+05,2.194e+04,6.234e+04,2.611e+05
83.5,1.653e+05,1.931e+04,6.264e+04,2.472e+05
85.0,1.491e+05,2.051e+04,6.566e+04,2.353e+05
86.5,1.342e+05,2.320e+04,6.982e+04,2.272e+05
88.0,1.185e+05,2.540e+04,7.203e+04,2.159e+05
89.5,1.066e+05,2.768e+04,7.472e+04,2.090e+05
91.1,9.783e+04,2.926e+04,7.691e+04,2.040e+05
92.6,8.887e+04,3.086e+04,8.008e+04,1.998e+05
94.1,8.307e+04,3.287e+04,8.569e+04,2.016e+05
95.6,7.835e+04,3.486e+04,9.260e+04,2.058e+05
97.1,7.300e+04,3.756e+04,1.020e+05,2.125e+05
98.6,6.612e+04,3.644e+04,1.024e+05,2.050e+05
100.2,5.776e+04,3.664e+04,1.023e+05,1.967e+05
101.7,5.187e+04,3.820e+04,1.052e+05,1.952e+05
103.2,4.569e+04,3.702e+04,1.018e+05,1.845e+05
104.7,3.751e+04,3.202e+04,8.883e+04,1.584e+05
106.2,3.368e+04,2.971e+04,8.612e+04,1.495e+05
107.8,3.499e+04,3.468e+04,1.011e+05,1.708e+05
109.3,3.750e+04,3.967e+04,1.155e+05,1.927e+05
110.8,3.876e+04,4.153e+04,1.243e+05,2.046e+05
112.3,3.861e+04,4.014e+04,1.240e+05,2.028e+05
113.8,3.980e+04,3.765e+04,1.211e+05,1.985e+05
115.3,4.562e+04,3.436e+04,1.186e+05,1.986e+05
116.9,5.430e+04,2.902e+04,1.087e+05,1.920e+05
118.4,6.191e+04,2.263e+04,9.316e+04,1.777e+05
119.9,7.111e+04,1.706e+04,7.847e+04,1.666e+05
121.4,7.908e+04,1.162e+04,6.162e+04,1.523e+05
122.9,8.283e+04,7.423e+03,4.395e+04,1.342e+05
124.4,8.292e+04,5.626e+03,3.020e+04,1.188e+05
126.0,8.845e+04,5.963e+03,2.171e+04,1.161e+05
127.5,1.041e+05,7.128e+03,1.667e+04,1.279e+05
129.0,1.192e+05,8.980e+03,1.197e+04,1.401e+05
130.5,1.283e+05,1.196e+04,9.015e+03,1.493e+05
132.0,1.200e+05,1.364e+04,8.032e+03,1.416e+05
133.6,4.262e+04,6.399e+03,3.362e+03,5.238e+04
135.1,6.264e+03,2.290e+03,9.448e+02,9.499e+03
136.6,5.500e+03,2.237e+03,1.000e+03,8.737e+03
138.1,6.064e+03,2.511e+03,1.265e+03,9.840e+03
139.6,6.865e+03,2.762e+03,1.640e+03,1.127e+04
141.1,7.587e+03,3.037e+03,2.117e+03,1.274e+04
142.7,8.117e+03,3.392e+03,2.770e+03,1.428e+04
144.2,8.333e+03,3.551e+03,3.351e+03,1.524e+04
145.7,8.281e+03,3.588e+03,3.727e+03,1.560e+04
147.2,7.944e+03,3.533e+03,3.910e+03,1.539e+04
148.7,7.615e+03,3.366e+03,3.957e+03,1.494e+04
150.2,7.284e+03,3.220e+03,4.243e+03,1.475e+04
151.8,6.510e+03,3.000e+03,4.482e+03,1.399e+04
153.3,5.978e+03,2.745e+03,4.437e+03,1.316e+04
154.8,5.293e+03,2.354e+03,4.024e+03,1.167e+04
156.3,4.126e+03,1.751e+03,3.221e+03,9.098e+03
157.8,3.351e+03,1.268e+03,2.290e+03,6.909e+03
159.4,3.428e+03,1.102e+03,1.865e+03,6.394e+03
160.9,3.744e+03,1.363e+03,1.885e+03,6.992e+03
162.4,4.060e+03,1.725e+03,2.131e+03,7.916e+03
163.9,4.186e+03,1.911e+03,2.194e+03,8.290e+03
165.4,3.994e+03,2.063e+03,2.098e+03,8.155e+03
166.9,3.804e+03,2.053e+03,1.897e+03,7.754e+03
168.5,3.551e+03,1.905e+03,1.514e+03,6.970e+03
170.0,3.004e+03,1.698e+03,1.121e+03,5.823e+03
171.5,2.545e+03,1.491e+03,8.274e+02,4.863e+03
173.0,2.334e+03,1.302e+03,6.986e+02,4.335e+03
174.5,2.207e+03,1.138e+03,5.806e+02,3.925e+03
176.0,2.004e+03,9.720e+02,4.774e+02,3.453e+03
177.6,1.857e+03,8.247e+02,4.657e+02,3.148e+03
179.1,1.828e+03,7.530e+02,5.021e+02,3.083e+03
180.6,1.795e+03,6.648e+02,5.121e+02,2.972e+03
182.1,1.687e+03,5.895e+02,5.293e+02,2.806e+03
183.6,1.619e+03,5.513e+02,5.065e+02,2.677e+03
185.2,1.483e+03,5.134e+02,4.725e+02,2.469e+03
186.7,1.365e+03,4.760e+02,4.489e+02,2.290e+03
188.2,1.233e+03,4.392e+02,4.381e+02,2.110e+03
189.7,1.052e+03,4.142e+02,4.297e+02,1.896e+03
191.2,9.889e+02,3.927e+02,4.606e+02,1.842e+03
192.7,1.029e+03,3.671e+02,4.901e+02,1.886e+03
194.3,1.110e+03,3.449e+02,5.545e+02,2.009e+03
195.8,1.218e+03,3.433e+02,6.298e+02,2.191e+03
197.3,1.281e+03,3.405e+02,7.111e+02,2.333e+03
198.8,1.371e+03,3.584e+02,8.274e+02,2.557e+03
