freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.432e+01,1.192e+02,3.238e+01,1.859e+02
1.5,4.328e+01,8.459e+01,3.169e+01,1.596e+02
3.0,3.168e+01,2.829e+01,1.946e+01,7.943e+01
4.5,3.274e+01,2.947e+02,2.069e+01,3.481e+02
6.1,4.391e+01,9.968e+02,2.408e+01,1.065e+03
7.6,4.757e+01,1.484e+03,2.246e+01,1.554e+03
9.1,5.666e+01,2.174e+03,2.127e+01,2.252e+03
10.6,6.009e+01,2.893e+03,2.750e+01,2.980e+03
12.1,7.504e+01,3.745e+03,3.843e+01,3.858e+03
13.6,1.158e+02,5.094e+03,2.687e+01,5.237e+03
15.2,1.820e+02,6.834e+03,2.430e+01,7.040e+03
16.7,2.556e+02,8.865e+03,3.019e+01,9.150e+03
18.2,3.886e+02,1.154e+04,4.082e+01,1.197e+04
19.7,6.741e+02,1.594e+04,6.327e+01,1.667e+04
21.2,8.084e+02,2.087e+04,9.723e+01,2.177e+04
22.7,6.369e+02,2.192e+04,1.063e+02,2.266e+04
24.3,8.253e+02,2.443e+04,1.444e+02,2.540e+04
25.8,1.253e+03,3.004e+04,2.553e+02,3.155e+04
27.3,1.909e+03,3.857e+04,5.126e+02,4.099e+04
28.8,2.941e+03,5.213e+04,1.168e+03,5.624e+04
30.3,4.246e+03,6.737e+04,2.287e+03,7.390e+04
31.8,5.170e+03,7.431e+04,3.178e+03,8.266e+04
33.4,5.604e+03,7.138e+04,3.478e+03,8.046e+04
34.9,6.898e+03,7.171e+04,3.683e+03,8.229e+04
36.4,9.654e+03,8.420e+04,4.682e+03,9.854e+04
37.9,1.433e+04,1.140e+05,8.580e+03,1.369e+05
39.4,1.601e+04,1.309e+05,1.400e+04,1.609e+05
40.9,1.365e+04,1.257e+05,1.853e+04,1.579e+05
42.5,9.396e+03,9.981e+04,1.901e+04,1.282e+05
44.0,5.978e+03,7.004e+04,1.646e+04,9.248e+04
45.5,4.053e+03,5.217e+04,1.560e+04,7.182e+04
47.0,3.061e+03,4.225e+04,1.675e+04,6.205e+04
48.5,2.796e+03,3.480e+04,1.807e+04,5.566e+04
50.0,3.298e+03,2.921e+04,1.827e+04,5.078e+04
51.6,4.478e+03,2.589e+04,1.976e+04,5.013e+04
53.1,6.850e+03,2.354e+04,2.339e+04,5.377e+04
54.6,1.172e+04,2.095e+04,2.927e+04,6.194e+04
56.1,2.026e+04,1.749e+04,3.633e+04,7.409e+04
57.6,3.373e+04,1.403e+04,4.120e+04,8.895e+04
59.1,5.407e+04,1.289e+04,4.774e+04,1.147e+05
60.7,7.151e+04,1.435e+04,5.522e+04,1.411e+05
62.2,9.581e+04,1.938e+04,6.699e+04,1.822e+05
63.7,1.288e+05,2.711e+04,7.853e+04,2.344e+05
65.2,1.431e+05,3.163e+04,7.943e+04,2.541e+05
66.7,1.291e+05,3.077e+04,7.059e+04,2.304e+05
68.2,1.089e+05,2.714e+04,5.812e+04,1.942e+05
69.8,9.903e+04,2.906e+04,5.388e+04,1.820e+05
71.3,9.052e+04,3.477e+04,5.436e+04,1.797e+05
72.8,8.023e+04,4.080e+04,5.503e+04,1.761e+05
74.3,7.000e+04,4.567e+04,5.424e+04,1.699e+05
75.8,6.237e+04,4.802e+04,5.157e+04,1.620e+05
77.3,5.249e+04,4.923e+04,4.896e+04,1.507e+05
78.9,4.221e+04,4.911e+04,4.714e+04,1.385e+05
80.4,3.687e+04,4.790e+04,4.470e+04,1.295e+05
81.9,3.150e+04,4.863e+04,4.228e+04,1.224e+05
83.4,2.453e+04,5.198e+04,4.234e+04,1.188e+05
84.9,1.960e+04,5.499e+04,4.459e+04,1.192e+05
86.4,1.504e+04,5.427e+04,4.635e+04,1.157e+05
88.0,1.151e+04,5.199e+04,4.839e+04,1.119e+05
89.5,9.800e+03,4.922e+04,4.935e+04,1.084e+05
91.0,9.962e+03,4.603e+04,4.834e+04,1.043e+05
92.5,1.107e+04,4.259e+04,4.734e+04,1.010e+05
94.0,1.189e+04,3.982e+04,4.711e+04,9.882e+04
95.5,1.181e+04,3.843e+04,4.758e+04,9.782e+04
97.0,1.171e+04,3.910e+04,5.089e+04,1.017e+05
98.6,1.252e+04,3.906e+04,5.689e+04,1.085e+05
100.1,1.377e+04,3.434e+04,5.593e+04,1.040e+05
101.6,1.354e+04,2.889e+04,4.874e+04,9.117e+04
103.1,1.250e+04,2.523e+04,4.167e+04,7.940e+04
104.6,1.093e+04,2.118e+04,3.486e+04,6.696e+04
106.1,8.490e+03,1.822e+04,2.990e+04,5.661e+04
107.7,6.291e+03,1.792e+04,2.945e+04,5.366e+04
109.2,4.633e+03,1.812e+04,3.104e+04,5.379e+04
110.7,3.161e+03,1.752e+04,3.279e+04,5.347e+04
112.2,2.054e+03,1.501e+04,3.202e+04,4.908e+04
113.7,1.301e+03,1.161e+04,2.791e+04,4.082e+04
115.2,8.097e+02,9.205e+03,2.386e+04,3.387e+04
116.8,5.546e+02,7.870e+03,2.061e+04,2.904e+04
118.3,5.557e+02,6.676e+03,1.795e+04,2.518e+04
119.8,8.638e+02,5.476e+03,1.489e+04,2.123e+04
121.3,1.372e+03,4.413e+03,1.137e+04,1.715e+04
122.8,2.083e+03,3.729e+03,6.686e+03,1.250e+04
124.3,2.895e+03,3.453e+03,2.848e+03,9.196e+03
125.9,3.202e+03,3.619e+03,1.796e+03,8.617e+03
127.4,4.751e+03,4.713e+03,1.457e+03,1.092e+04
128.9,7.575e+03,5.496e+03,1.207e+03,1.428e+04
130.4,9.690e+03,6.737e+03,8.219e+02,1.725e+04
131.9,1.008e+04,8.160e+03,5.133e+02,1.876e+04
133.4,4.855e+03,3.895e+03,3.154e+02,9.065e+03
135.0,1.578e+03,7.128e+02,2.505e+02,2.541e+03
136.5,1.423e+03,6.356e+02,2.478e+02,2.306e+03
138.0,1.503e+03,7.303e+02,2.330e+02,2.467e+03
139.5,1.565e+03,8.501e+02,2.268e+02,2.642e+03
141.0,1.536e+03,9.281e+02,2.256e+02,2.690e+03
142.5,1.444e+03,9.548e+02,2.378e+02,2.636e+03
144.1,1.413e+03,9.546e+02,2.815e+02,2.650e+03
145.6,1.483e+03,1.005e+03,3.561e+02,2.844e+03
147.1,1.663e+03,1.072e+03,4.653e+02,3.200e+03
148.6,2.008e+03,1.176e+03,5.861e+02,3.770e+03
150.1,2.358e+03,1.280e+03,6.722e+02,4.310e+03
151.6,2.371e+03,1.289e+03,7.382e+02,4.398e+03
153.2,2.234e+03,1.265e+03,7.668e+02,4.266e+03
154.7,2.036e+03,1.231e+03,7.932e+02,4.060e+03
156.2,1.834e+03,1.183e+03,8.144e+02,3.831e+03
157.7,1.641e+03,1.092e+03,8.182e+02,3.552e+03
159.2,1.458e+03,9.539e+02,7.598e+02,3.171e+03
160.7,1.253e+03,9.240e+02,6.538e+02,2.831e+03
162.3,1.082e+03,8.790e+02,5.642e+02,2.525e+03
163.8,8.149e+02,7.390e+02,4.278e+02,1.982e+03
165.3,5.625e+02,5.517e+02,3.160e+02,1.430e+03
166.8,5.515e+02,4.634e+02,3.336e+02,1.349e+03
168.3,5.914e+02,4.422e+02,4.104e+02,1.444e+03
169.8,6.725e+02,4.858e+02,5.318e+02,1.690e+03
171.4,9.411e+02,5.245e+02,7.382e+02,2.204e+03
172.9,1.226e+03,5.236e+02,9.146e+02,2.665e+03
174.4,1.266e+03,4.879e+02,9.199e+02,2.673e+03
175.9,1.241e+03,4.468e+02,8.984e+02,2.586e+03
177.4,1.318e+03,3.967e+02,8.735e+02,2.588e+03
178.9,1.338e+03,3.252e+02,8.290e+02,2.493e+03
180.5,1.308e+03,2.793e+02,7.639e+02,2.351e+03
182.0,1.202e+03,2.589e+02,6.958e+02,2.157e+03
183.5,1.182e+03,2.505e+02,6.337e+02,2.066e+03
185.0,1.171e+03,2.615e+02,5.821e+02,2.014e+03
186.5,1.129e+03,2.483e+02,5.347e+02,1.912e+03
188.0,1.090e+03,2.512e+02,4.924e+02,1.833e+03
189.5,1.052e+03,2.782e+02,4.823e+02,1.812e+03
191.1,9.881e+02,2.972e+02,4.710e+02,1.756e+03
192.6,9.184e+02,3.044e+02,4.790e+02,1.702e+03
194.1,8.774e+02,3.219e+02,4.893e+02,1.689e+03
195.6,8.890e+02,3.240e+02,5.246e+02,1.738e+03
197.1,9.455e+02,3.096e+02,5.969e+02,1.852e+03
198.6,8.952e+02,2.926e+02,5.947e+02,1.783e+03
